,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9002123142250531,0.9477777777777778,0.9002123142250531,0.6544117647058824,0.9002123142250531,0.7084052320297167
CAD,0.8755458515283843,0.5819024907260202,0.8755458515283843,0.5819024907260202,0.8755458515283843,0.5819024907260202
CHF,0.8926940639269406,0.5960991638056322,0.8926940639269406,0.599644974615685,0.8926940639269406,0.5975583077520201
Depression,0.8846960167714885,0.8983812949640287,0.8846960167714885,0.7551843317972351,0.8846960167714885,0.7984790874524714
Diabetes,0.8977035490605428,0.8808899433899434,0.8977035490605428,0.8764243695750544,0.8977035490605428,0.8786030898774704
GERD,0.8591549295774648,0.5863095238095238,0.8591549295774648,0.4665129021429577,0.8591549295774648,0.4934818268151601
Gallstones,0.8553971486761711,0.8816287878787878,0.8553971486761711,0.5612834549878345,0.8553971486761711,0.5700472367139033
Gout,0.918,0.9022233041220382,0.918,0.6851077336719071,0.918,0.7419143659276606
Hypercholesterolemia,0.8584686774941995,0.8562019521464974,0.8584686774941995,0.8606410424592242,0.8584686774941995,0.8573598745639306
Hypertension,0.8968609865470852,0.5892230576441103,0.8968609865470852,0.526705603521246,0.8968609865470852,0.5509670549244124
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836
OA,0.854978354978355,0.5549749163879599,0.854978354978355,0.4606900819434879,0.854978354978355,0.48485921948460753
OSA,0.9191919191919192,0.9714489650249822,0.9191919191919192,0.6363636363636364,0.9191919191919192,0.7341896995501672
Obesity,0.930648769574944,0.9370385215813679,0.930648769574944,0.9231311274509804,0.930648769574944,0.9282336794675919
PVD,0.9311827956989247,0.6333203833203833,0.9311827956989247,0.5119850909324594,0.9311827956989247,0.551473987978508
Venous Insufficiency,0.936768149882904,0.8442671394799055,0.936768149882904,0.5504678565239993,0.936768149882904,0.5744657291551323
overall,0.8978240302743614,0.6691023533084034,0.8978240302743614,0.5947297051570446,0.8978240302743614,0.6183088470451038
