,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C
Asthma,0.9087048832271762,0.9341841841841841,0.9087048832271762,0.6899357757991533,0.9087048832271762,0.7483005033244268,100.0
CAD,0.8668122270742358,0.5764539461392691,0.8668122270742358,0.5746952835188129,0.8668122270742357,0.5755255075585337,0.1
CHF,0.8926940639269406,0.5960991638056322,0.8926940639269406,0.599644974615685,0.8926940639269406,0.5975583077520201,10.0
Depression,0.8846960167714885,0.8822163238221632,0.8846960167714885,0.7654377880184332,0.8846960167714885,0.8040599583249312,100.0
Diabetes,0.8893528183716075,0.8690066388000983,0.8893528183716075,0.8704183635690486,0.8893528183716075,0.8697066899330237,100.0
GERD,0.8568075117370892,0.574103237095363,0.8568075117370892,0.4680830328428029,0.8568075117370892,0.49364924279433314,100.0
Gallstones,0.8594704684317719,0.8629551820728292,0.8594704684317719,0.5788169099756691,0.8594704684317718,0.5979469530647362,100.0
Gout,0.93,0.907914668013128,0.93,0.7413458306882259,0.93,0.7964524571096248,100.0
Hypercholesterolemia,0.8584686774941995,0.8562019521464974,0.8584686774941995,0.8606410424592242,0.8584686774941995,0.8573598745639306,1.0
Hypertension,0.9013452914798207,0.5867886021338706,0.9013452914798207,0.5399949212798375,0.9013452914798207,0.559581404522409,100.0
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836,0.01
OA,0.854978354978355,0.5480258899676375,0.854978354978355,0.4661995588426106,0.854978354978355,0.489061262393139,10.0
OSA,0.9252525252525252,0.9636093073593074,0.9252525252525252,0.6557850164407542,0.9252525252525252,0.7525666434552823,100.0
Obesity,0.930648769574944,0.9370385215813679,0.930648769574944,0.9231311274509804,0.930648769574944,0.9282336794675919,10.0
PVD,0.9333333333333333,0.6202638441478755,0.9333333333333333,0.5256988625409678,0.9333333333333333,0.5597713534621763,100.0
Venous Insufficiency,0.9391100702576113,0.8703791469194313,0.9391100702576113,0.5677092358343442,0.9391100702576113,0.6017934002869441,10.0
overall,0.8991755642654413,0.6685168474608814,0.8991755642654413,0.597235247125838,0.8991755642654413,0.6198574800516984,
