,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.8598726114649682,0.7327548806941431,0.8598726114649682,0.539154867902496,0.8598726114649682,0.5387286324786325
CAD,0.8122270742358079,0.5384409680438561,0.8122270742358079,0.5365659777424483,0.8122270742358079,0.5374321098551954
CHF,0.7990867579908676,0.5373004857737682,0.7990867579908676,0.5346824297937302,0.7990867579908677,0.5332378259234907
Depression,0.9014675052410901,0.9232937348668281,0.9014675052410901,0.7864439324116743,0.9014675052410901,0.8310104398296461
Diabetes,0.824634655532359,0.8037936053335837,0.824634655532359,0.7661771360401497,0.824634655532359,0.7803903589206184
GERD,0.8192488262910798,0.529561824729892,0.8192488262910798,0.418466902727696,0.8192488262910798,0.4343160424449019
Gallstones,0.8472505091649695,0.9228395061728395,0.8472505091649695,0.53125,0.8472505091649695,0.517017509344875
Gout,0.884,0.9416498993963782,0.884,0.5245901639344263,0.884,0.5158920940170941
Hypercholesterolemia,0.7424593967517401,0.7415245110709054,0.7424593967517401,0.745168131531768,0.7424593967517401,0.7412055544436091
Hypertension,0.8071748878923767,0.47317188983855646,0.8071748878923767,0.3809040121889284,0.8071748878923767,0.3890499194847021
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836
OA,0.8354978354978355,0.5709839816933638,0.8354978354978355,0.41119461827908693,0.8354978354978355,0.42826099388116884
OSA,0.9111111111111111,0.9453300552515399,0.9111111111111111,0.6247013460128215,0.9111111111111111,0.7183613576772269
Obesity,0.7651006711409396,0.7813034188034188,0.7651006711409396,0.7420036764705882,0.7651006711409396,0.7468569486918111
PVD,0.8881720430107527,0.5799625468164794,0.8881720430107527,0.41800655484866006,0.8881720430107527,0.44612954186413906
Venous Insufficiency,0.9320843091334895,0.46604215456674475,0.9320843091334895,0.5,0.9320843091334895,0.4824242424242424
overall,0.8501148803892418,0.6302013293470589,0.8501148803892418,0.5540240516337827,0.8501148803892418,0.5773001494526343
