,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,n_estimators,criterion
Asthma,0.8853503184713376,0.8684589800443459,0.8853503184713376,0.6212779156327544,0.8853503184713376,0.6615658931232702,5.0,entropy
CAD,0.8449781659388647,0.5684682760093996,0.8449781659388647,0.5520667726550079,0.8449781659388647,0.5573888091822095,100.0,entropy
CHF,0.8538812785388128,0.5689113613728645,0.8538812785388128,0.5743884687755174,0.8538812785388128,0.5716234556181395,100.0,gini
Depression,0.8679245283018868,0.9170428301490657,0.8679245283018868,0.7034178187403994,0.8679245283018869,0.7494601692442369,30.0,gini
Diabetes,0.8705636743215032,0.8825897435897436,0.8705636743215032,0.806902793204163,0.8705636743215032,0.8322146892655367,80.0,entropy
GERD,0.7746478873239436,0.43368725868725866,0.7746478873239436,0.4019101452100185,0.7746478873239436,0.408965140882153,5.0,gini
Gallstones,0.8778004073319755,0.8810173697270471,0.8778004073319755,0.6401003649635036,0.8778004073319755,0.6827345567330059,5.0,gini
Gout,0.882,0.7248732134624252,0.882,0.5728555958026812,0.882,0.5945518767437705,5.0,gini
Hypercholesterolemia,0.8422273781902552,0.8416134610268688,0.8422273781902552,0.836908041453496,0.8422273781902552,0.8387827847209999,100.0,entropy
Hypertension,0.8565022421524664,0.5649799781579905,0.8565022421524664,0.4528102251565939,0.8565022421524664,0.48097375220998223,10.0,entropy
Hypertriglyceridemia,0.9506172839506173,0.9752577319587629,0.9506172839506173,0.52,0.9506172839506173,0.5257765490323629,10.0,gini
OA,0.8571428571428571,0.5383805621941504,0.8571428571428571,0.4781267778542983,0.8571428571428571,0.4976250373581479,5.0,gini
OSA,0.8868686868686869,0.8628599678655297,0.8868686868686869,0.5939843398859792,0.8868686868686869,0.6749796763957727,5.0,gini
Obesity,0.8612975391498882,0.8829017430482866,0.8612975391498882,0.8436887254901961,0.8612975391498882,0.8525286279851858,80.0,entropy
PVD,0.9075268817204301,0.5808416389811738,0.9075268817204301,0.47703875072296126,0.9075268817204301,0.5093767591475673,5.0,gini
Venous Insufficiency,0.9297423887587822,0.465962441314554,0.9297423887587822,0.49874371859296485,0.9297423887587822,0.4817961165048544,5.0,gini
overall,0.8726854980402757,0.6422564058467332,0.8726854980402757,0.5796741424505616,0.8726854980402757,0.5991381265324898,,
