,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9596602972399151,0.9163422020333117,0.9596602972399151,0.9214165815209459,0.9596602972399151,0.9188556920705444
CAD,0.8384279475982532,0.5565034965034965,0.8384279475982532,0.5553060413354531,0.8384279475982532,0.5558782360061568
CHF,0.8789954337899544,0.58632995360749,0.8789954337899544,0.5907409379770653,0.8789954337899544,0.5884197692692587
Depression,0.9643605870020965,0.9621062992125984,0.9643605870020965,0.9327188940092166,0.9643605870020965,0.9464232621751798
Diabetes,0.8684759916492694,0.8451992566590956,0.8684759916492694,0.843864412357563,0.8684759916492694,0.844526190512991
GERD,0.8873239436619719,0.5593915343915344,0.8873239436619719,0.5559128956458651,0.8873239436619719,0.557568210430304
Gallstones,0.9613034623217923,0.9532419809052819,0.9613034623217923,0.9013838199513382,0.9613034623217923,0.9248370489135251
Gout,0.984,0.9689073369460779,0.984,0.9555995369505956,0.984,0.9621212121212122
Hypercholesterolemia,0.8932714617169374,0.8919961427193828,0.8932714617169374,0.8910533910533911,0.8932714617169374,0.8915046843533841
Hypertension,0.8968609865470852,0.5656076456153946,0.8968609865470852,0.5609869646182495,0.8968609865470852,0.5632866479925304
Hypertriglyceridemia,0.9753086419753086,0.8734924078091106,0.9753086419753086,0.8734924078091106,0.9753086419753086,0.8734924078091106
OA,0.9264069264069265,0.587033242258652,0.9264069264069265,0.6008523719695381,0.9264069264069265,0.5937458202926464
OSA,0.9959595959595959,0.994170678750118,0.9959595959595959,0.8282828282828283,0.9959595959595959,0.8834485202906256
Obesity,0.930648769574944,0.9294829842931938,0.930648769574944,0.928921568627451,0.930648769574944,0.929197345092048
PVD,0.9440860215053763,0.5859553948161543,0.9440860215053763,0.6028532870638134,0.9440860215053763,0.594023074291756
Venous Insufficiency,0.9297423887587822,0.7275510204081632,0.9297423887587822,0.7704903829492289,0.9297423887587822,0.7466376582278481
overall,0.9286390052709825,0.6783859211993555,0.9286390052709825,0.6354784072637077,0.9286390052709825,0.6467796566670551
