,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,criterion
Asthma,0.9660297239915074,0.9408399877149878,0.9660297239915074,0.9190264195008028,0.9660297239915074,0.9295173961840628,entropy
CAD,0.8602620087336245,0.5737726098191215,0.8602620087336245,0.5675609432962374,0.8602620087336245,0.5701411623895518,gini
CHF,0.863013698630137,0.5752347491477926,0.863013698630137,0.5805517094472256,0.863013698630137,0.5778809624314056,entropy
Depression,0.9622641509433962,0.9507188750789972,0.9622641509433962,0.9382104454685101,0.9622641509433962,0.9442785940501532,entropy
Diabetes,0.8997912317327766,0.882825456053068,0.8997912317327766,0.8798490271093011,0.8997912317327766,0.88131323559777,gini
GERD,0.8896713615023474,0.5634896416098735,0.8896713615023474,0.55434276494602,0.8896713615023474,0.5585959093421781,gini
Gallstones,0.9511201629327902,0.9298099762470309,0.9511201629327902,0.8852341849148418,0.9511201629327902,0.9055769230769231,gini
Gout,0.982,0.9673506007177407,0.982,0.9474028156391202,0.982,0.9570770419404993,entropy
Hypercholesterolemia,0.9025522041763341,0.9037199609825308,0.9025522041763341,0.8981590799772619,0.902552204176334,0.9004246611512057,gini
Hypertension,0.8968609865470852,0.5596375427016386,0.8968609865470852,0.5809844252581683,0.8968609865470852,0.5689241622574955,entropy
Hypertriglyceridemia,0.9711934156378601,0.8453159041394336,0.9711934156378601,0.8713232104121476,0.9711934156378601,0.8577759197324415,entropy
OA,0.935064935064935,0.6027853922543202,0.935064935064935,0.6017306943737462,0.935064935064935,0.6022022022022022,gini
OSA,0.9939393939393939,0.9933177933177934,0.9939393939393939,0.8232323232323232,0.9939393939393939,0.8804764849032525,gini
Obesity,0.9351230425055929,0.9352221308103661,0.9351230425055929,0.9321997549019607,0.9351230425055929,0.9335860849962856,entropy
PVD,0.9419354838709677,0.5762335760040226,0.9419354838709677,0.6191889981363666,0.9419354838709677,0.5950165133286153,gini
Venous Insufficiency,0.9227166276346604,0.6890945712641473,0.9227166276346604,0.6708109513082654,0.9227166276346604,0.6793491864831038,entropy
overall,0.9310717664549263,0.6804279239042802,0.9310717664549263,0.6373795528422894,0.9310717664549263,0.6487504212760972,
