,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9023354564755839,0.928831096196868,0.9023354564755839,0.6678769522697416,0.9023354564755839,0.7229411764705882
CAD,0.8777292576419214,0.5842692873378794,0.8777292576419214,0.5819753577106518,0.8777292576419214,0.5830443063768912
CHF,0.8447488584474886,0.5632516641494658,0.8447488584474886,0.5677139915503958,0.8447488584474886,0.5654029395964879
Depression,0.8574423480083857,0.8814814814814815,0.8574423480083857,0.6898617511520737,0.8574423480083857,0.731044776119403
Diabetes,0.8747390396659708,0.8559437290152578,0.8747390396659708,0.8445226047965774,0.8747390396659708,0.8498558114264221
GERD,0.8169014084507042,0.5070684523809524,0.8169014084507042,0.42519139351806734,0.8169014084507042,0.44064577397910726
Gallstones,0.8370672097759674,0.6713250517598344,0.8370672097759674,0.5201338199513382,0.8370672097759674,0.5007118161480577
Gout,0.902,0.9149029982363316,0.902,0.6054184248851712,0.902,0.6468468468468468
Hypercholesterolemia,0.8051044083526682,0.8028275415497518,0.8051044083526682,0.8067471249289431,0.8051044083526682,0.8036574254848368
Hypertension,0.8452914798206278,0.5407512963622689,0.8452914798206278,0.44244117149145085,0.8452914798206277,0.46713286713286717
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836
OA,0.8073593073593074,0.47806398494471897,0.8073593073593074,0.3828587398069687,0.8073593073593074,0.38755663413197666
OSA,0.9050505050505051,0.9523626091422702,0.9050505050505051,0.6052799659357037,0.9050505050505051,0.6972196941607397
Obesity,0.8366890380313199,0.8397045677067814,0.8366890380313199,0.8259803921568627,0.8366890380313199,0.8304116665713855
PVD,0.9053763440860215,0.620275888133031,0.9053763440860215,0.45044662939399777,0.9053763440860215,0.4881576600677724
Venous Insufficiency,0.9320843091334895,0.46604215456674475,0.9320843091334895,0.5,0.9320843091334895,0.4824242424242424
overall,0.869576969860792,0.6456606519121393,0.869576969860792,0.5711656829033583,0.869576969860792,0.594355781747832
