,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C
Asthma,0.9044585987261147,0.9007645498517709,0.9044585987261147,0.6874543862209896,0.9044585987261147,0.741414018178491,100.0
CAD,0.8777292576419214,0.5842692873378794,0.8777292576419214,0.5819753577106518,0.8777292576419214,0.5830443063768912,1.0
CHF,0.8401826484018264,0.5604047274177635,0.8401826484018264,0.5646323712145418,0.8401826484018263,0.5624079437902141,0.01
Depression,0.8574423480083857,0.8663456036620256,0.8574423480083857,0.6966973886328724,0.8574423480083857,0.7367207792207793,100.0
Diabetes,0.8684759916492694,0.8478099873042743,0.8684759916492694,0.8380949442593278,0.8684759916492694,0.8426683350277626,100.0
GERD,0.823943661971831,0.511575452462152,0.823943661971831,0.4410984417806365,0.823943661971831,0.4581178218084401,100.0
Gallstones,0.835030549898167,0.6433840479483632,0.835030549898167,0.5189172749391727,0.835030549898167,0.49959107666368885,100.0
Gout,0.898,0.8401337021668972,0.898,0.6101982897046193,0.898,0.6495278934564797,100.0
Hypercholesterolemia,0.8051044083526682,0.8028275415497518,0.8051044083526682,0.8067471249289431,0.8051044083526682,0.8036574254848368,1.0
Hypertension,0.852017937219731,0.5448814384984598,0.852017937219731,0.45666158794650413,0.852017937219731,0.48193339227821985,100.0
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836,0.01
OA,0.816017316017316,0.494718992248062,0.816017316017316,0.4002654929085447,0.816017316017316,0.41160449245646785,100.0
OSA,0.9131313131313131,0.9572649572649573,0.9131313131313131,0.6254819861377238,0.9131313131313131,0.7207000782662671,10.0
Obesity,0.8389261744966443,0.8416330431089403,0.8389261744966443,0.8285845588235294,0.8389261744966443,0.8328833132555145,100.0
PVD,0.9096774193548387,0.6227147946965714,0.9096774193548387,0.4607030396504081,0.9096774193548387,0.4997770725694353,100.0
Venous Insufficiency,0.9320843091334895,0.46604215456674475,0.9320843091334895,0.5,0.9320843091334895,0.4824242424242424,0.1
overall,0.8709285038518719,0.6457462549871493,0.8709285038518719,0.5733491470986644,0.8709285038518719,0.5959547342473795,
