,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.8832271762208068,0.9399563318777293,0.8832271762208068,0.5955882352941176,0.8832271762208068,0.628554222050157
CAD,0.8275109170305677,0.5483363605254152,0.8275109170305677,0.5497549019607844,0.8275109170305677,0.5489998019409784
CHF,0.7785388127853882,0.519878324844369,0.7785388127853882,0.52192281748145,0.7785388127853882,0.5201107484365187
Depression,0.8637316561844863,0.8954655502875013,0.8637316561844863,0.7007296466973887,0.8637316561844863,0.7442949865157975
Diabetes,0.8121085594989561,0.785886722376973,0.8121085594989561,0.7533218149656505,0.8121085594989562,0.7657981659350689
GERD,0.7629107981220657,0.3000398724082935,0.7629107981220657,0.32986821730608884,0.7629107981220657,0.2949851727495847
Gallstones,0.8411405295315683,0.7959445585215605,0.8411405295315683,0.5175334549878345,0.8411405295315683,0.49228444161629015
Gout,0.886,0.9425403225806452,0.886,0.5327868852459017,0.886,0.5310571781160016
Hypercholesterolemia,0.6960556844547564,0.6980904349325402,0.6960556844547564,0.7009488827670646,0.6960556844547564,0.6953997874418028
Hypertension,0.8340807174887892,0.5231446221545232,0.8340807174887892,0.42635855764347386,0.8340807174887892,0.4479440069991251
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836
OA,0.8246753246753247,0.5578431372549019,0.8246753246753247,0.3928795999640686,0.8246753246753247,0.40206089897066416
OSA,0.9111111111111111,0.9444444444444443,0.9111111111111111,0.6204314810872188,0.9111111111111111,0.713453701454673
Obesity,0.6756152125279642,0.6923141186299081,0.6756152125279642,0.6410539215686274,0.6756152125279642,0.6344517198788555
PVD,0.8795698924731182,0.5984179543782192,0.8795698924731182,0.3889081678555362,0.8795698924731183,0.40666219539458975
Venous Insufficiency,0.9320843091334895,0.46604215456674475,0.9320843091334895,0.5,0.9320843091334895,0.4824242424242424
overall,0.836869847276659,0.6222303191327483,0.836869847276659,0.5394058396516885,0.836869847276659,0.5638703000522424
