,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,n_estimators,criterion
Asthma,0.881104033970276,0.842350332594235,0.881104033970276,0.6126842796672018,0.881104033970276,0.6490312965722801,5.0,entropy
CAD,0.868995633187773,0.5833019460138104,0.868995633187773,0.570733969263381,0.868995633187773,0.5753049147221417,100.0,entropy
CHF,0.8561643835616438,0.5708646093967195,0.8561643835616438,0.576866545958036,0.8561643835616438,0.573335087950169,80.0,entropy
Depression,0.7610062893081762,0.6021276595744681,0.7610062893081762,0.5528417818740399,0.7610062893081762,0.5539276807980049,5.0,entropy
Diabetes,0.824634655532359,0.8322479291630962,0.824634655532359,0.7392529515817187,0.824634655532359,0.7638621531527301,80.0,entropy
GERD,0.7863849765258216,0.47803975959315764,0.7863849765258216,0.3605561511223727,0.7863849765258216,0.34858261740942464,10.0,entropy
Gallstones,0.8553971486761711,0.7985057983942908,0.8553971486761711,0.5814172749391727,0.8553971486761711,0.6012102909045152,5.0,gini
Gout,0.874,0.6069500674763832,0.874,0.5118376339669144,0.874,0.4960886883908432,5.0,entropy
Hypercholesterolemia,0.7911832946635731,0.7914878720809432,0.7911832946635731,0.7821833049105776,0.7911832946635731,0.7850159616919394,100.0,gini
Hypertension,0.804932735426009,0.468907451604349,0.804932735426009,0.3742593533096326,0.8049327354260088,0.37934362934362936,10.0,entropy
Hypertriglyceridemia,0.948559670781893,0.4742798353909465,0.948559670781893,0.5,0.948559670781893,0.4868004223864836,10.0,gini
OA,0.8354978354978355,0.5941043083900227,0.8354978354978355,0.40568514137996425,0.8354978354978355,0.42102781706742104,30.0,gini
OSA,0.8747474747474747,0.8226495726495727,0.8747474747474747,0.5679511745085516,0.8747474747474747,0.6415323995358001,5.0,gini
Obesity,0.7695749440715883,0.8004487146985753,0.7695749440715883,0.7420649509803922,0.7695749440715884,0.7468229833986793,50.0,entropy
PVD,0.8623655913978494,0.47382842025699173,0.8623655913978494,0.39081035923141183,0.8623655913978494,0.405314785090066,5.0,gini
Venous Insufficiency,0.9391100702576113,0.8285714285714285,0.9391100702576113,0.5836943337376538,0.9391100702576113,0.6229964683509917,5.0,gini
overall,0.8466008920124342,0.6225689317501333,0.8466008920124342,0.5559480801802851,0.8466008920124342,0.5764757090674811,,
