,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9920634920634921,0.9088388945062351,0.9920634920634921,0.9945874183006536,0.9920634920634921,0.9433654546378308
CAD,0.8148893360160966,0.7555205338052053,0.8148893360160966,0.8385355619110132,0.8148893360160966,0.7886834107052078
CHF,0.8931451612903226,0.7368525674665648,0.8931451612903226,0.8113082039911309,0.8931451612903226,0.7640871381103073
Depression,0.9723320158102767,0.6437062937062937,0.9723320158102767,0.6172981737497867,0.9723320158102767,0.6296970608049798
Diabetes,0.9363817097415507,0.9598806552701207,0.9363817097415507,0.8251134122287969,0.9363817097415507,0.8793893627700383
GERD,0.9801587301587301,0.4790104947526237,0.9801587301587301,0.48015195635438634,0.9801587301587301,0.4795799105055767
Gallstones,0.960552268244576,0.8074454965406241,0.960552268244576,0.7696383068433885,0.960552268244576,0.7865361026368861
Gout,0.9881188118811881,0.6416818519268408,0.9881188118811881,0.6565772343918039,0.9881188118811881,0.6488730477789059
Hypercholesterolemia,0.9342629482071713,0.8680024916943523,0.9342629482071713,0.7210232722499874,0.9342629482071713,0.7725373499933377
Hypertension,0.9560878243512974,0.6652701700330936,0.9560878243512974,0.5955274671852212,0.9560878243512974,0.6239785610057245
Hypertriglyceridemia,0.9822485207100592,0.7646341463414634,0.9822485207100592,0.8929577464788733,0.9822485207100592,0.8154499494438827
OA,0.9601593625498008,0.9181789737171464,0.9601593625498008,0.9482893559928444,0.9601593625498008,0.9323085221143474
OSA,0.9940357852882704,0.9897045855379188,0.9940357852882704,0.8277308105206655,0.9940357852882704,0.8809230393463007
Obesity,0.9634888438133874,0.4844083040185766,0.9634888438133874,0.48643878228653314,0.9634888438133874,0.4853136906936688
PVD,0.9723865877712031,0.6291533468952824,0.9723865877712031,0.6204853273137697,0.9723865877712031,0.6247442481940791
Venous Insufficiency,0.9901380670611439,0.8616202346041055,0.9901380670611439,0.8969818913480885,0.9901380670611439,0.8784347575888362
overall,0.9558677274987568,0.8176097920263214,0.9558677274987568,0.7643810643123639,0.9558677274987568,0.7862306842958198
