,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,criterion
Asthma,0.9920634920634921,0.9117779159756771,0.9920634920634921,0.991489651416122,0.9920634920634921,0.9432870370370371,gini
CAD,0.8128772635814889,0.7546081250460812,0.8128772635814889,0.8376330348352009,0.8128772635814889,0.7877759696888738,gini
CHF,0.8991935483870968,0.7409819629331825,0.8991935483870968,0.8157507127019322,0.8991935483870968,0.7683615784839023,gini
Depression,0.974308300395257,0.6446814385310969,0.974308300395257,0.6219278033794163,0.974308300395257,0.6327174328070787,gini
Diabetes,0.9244532803180915,0.9549424489559836,0.9244532803180915,0.8141863905325443,0.9244532803180915,0.8717446064083091,gini
GERD,0.9742063492063492,0.4764943960149439,0.9742063492063492,0.469282391136995,0.9742063492063492,0.47276863545520265,entropy
Gallstones,0.9585798816568047,0.8000060686976574,0.9585798816568047,0.7718748281361711,0.9585798816568046,0.7848027061830902,entropy
Gout,0.9821782178217822,0.6256893974537395,0.9821782178217822,0.6543697288730401,0.9821782178217822,0.6390872012674015,entropy
Hypercholesterolemia,0.9223107569721115,0.8614269907850843,0.9223107569721115,0.7156469281639659,0.9223107569721115,0.7664701910312364,entropy
Hypertension,0.9461077844311377,0.6575771324863884,0.9461077844311377,0.5893898881866796,0.9461077844311377,0.6171177069693001,gini
Hypertriglyceridemia,0.9921104536489151,0.8979879275653924,0.9921104536489151,0.8979879275653924,0.9921104536489151,0.8979879275653924,gini
OA,0.9581673306772909,0.9216883858856817,0.9581673306772909,0.9332513416815742,0.9581673306772909,0.9273341375150783,gini
OSA,0.9940357852882704,0.9897045855379188,0.9940357852882704,0.8277308105206655,0.9940357852882704,0.8809230393463007,gini
Obesity,0.9614604462474645,0.4831003943817892,0.9614604462474645,0.48557373038341894,0.9614604462474645,0.48425494558982024,gini
PVD,0.9743589743589743,0.6304059622344047,0.9743589743589743,0.6256936606471031,0.9743589743589743,0.6280312590723,gini
Venous Insufficiency,0.9901380670611439,0.8616202346041055,0.9901380670611439,0.8969818913480885,0.9901380670611439,0.8784347575888362,gini
overall,0.9537543510691199,0.8160072195793935,0.9537543510691199,0.7632908781620015,0.9537543510691199,0.7848857591464291,
