,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9107142857142857,0.8935087719298245,0.9107142857142857,0.8376565904139434,0.9107142857142857,0.8180312544940319
CAD,0.8470824949698189,0.7726984071205177,0.8470824949698189,0.8559598601501645,0.8470824949698189,0.8059723820483314
CHF,0.8770161290322581,0.7294706665579739,0.8770161290322581,0.7969934537007708,0.8770161290322581,0.7526341958256174
Depression,0.9466403162055336,0.6357509157509157,0.9466403162055336,0.5532514080901177,0.9466403162055336,0.5855046807673631
Diabetes,0.9065606361829026,0.9450584795321638,0.9065606361829026,0.8019674556213018,0.9065606361829026,0.8607072829131652
GERD,0.9305555555555556,0.47518070928393946,0.9305555555555556,0.38348060380895005,0.9305555555555556,0.4131641595542295
Gallstones,0.8500986193293886,0.7419052488070893,0.8500986193293886,0.5520449504115565,0.8500986193293886,0.5630514909210277
Gout,0.9366336633663367,0.6198190675017398,0.9366336633663367,0.478561725250467,0.9366336633663367,0.5210226111513665
Hypercholesterolemia,0.8685258964143426,0.8381243111049875,0.8685258964143426,0.6839567873188954,0.8685258964143426,0.7380285198331153
Hypertension,0.906187624750499,0.6358418367346939,0.906187624750499,0.5536582401555663,0.906187624750499,0.587209167391935
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
OA,0.8705179282868526,0.8379014989293362,0.8705179282868526,0.654377236135957,0.8705179282868526,0.694598616661831
OSA,0.9204771371769384,0.9619237588652482,0.9204771371769384,0.6489868491680085,0.9204771371769384,0.7453940516002819
Obesity,0.9330628803245437,0.4707439299830604,0.9330628803245437,0.46869211142567546,0.9330628803245437,0.46916519771633036
PVD,0.9289940828402367,0.622626582278481,0.9289940828402367,0.48807844243792325,0.9289940828402367,0.5289440203562341
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
overall,0.9122327200397812,0.8011229640411386,0.9122327200397812,0.7243491300057945,0.9122327200397812,0.7559515063566755
