,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.8809523809523809,0.8865646258503401,0.8809523809523809,0.7825095315904139,0.8809523809523809,0.742172577964335
CAD,0.8108651911468813,0.7534131241429378,0.8108651911468813,0.8359845415028498,0.8108651911468813,0.7863648105962753
CHF,0.8104838709677419,0.6863154084995333,0.8104838709677419,0.7468192376728963,0.8104838709677419,0.7038533181848671
Depression,0.8853754940711462,0.6278911564625851,0.8853754940711462,0.40200972862263185,0.8853754940711462,0.42735234114544457
Diabetes,0.8170974155069582,0.8973894972797534,0.8170974155069582,0.7297485207100591,0.8170974155069584,0.7967517350418221
GERD,0.8611111111111112,0.35915492957746475,0.8611111111111112,0.26276065200656024,0.8611111111111112,0.25749858517260893
Gallstones,0.8402366863905325,0.7432048984468339,0.8402366863905325,0.5298538928302993,0.8402366863905325,0.526379771456358
Gout,0.9207920792079208,0.6401900882552614,0.9207920792079208,0.4159308314937454,0.9207920792079208,0.45254237288135596
Hypercholesterolemia,0.7669322709163346,0.7932839113088845,0.7669322709163346,0.6257635418244232,0.7669322709163346,0.6803791115578104
Hypertension,0.8143712574850299,0.5809436210555613,0.8143712574850299,0.46560525036460865,0.8143712574850299,0.5040248006147161
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
OA,0.8625498007968128,0.8827343827343828,0.8625498007968128,0.6080612701252236,0.8625498007968128,0.6391085549964055
OSA,0.8926441351888668,0.9629629629629629,0.8926441351888668,0.5772946859903382,0.8926441351888668,0.661437908496732
Obesity,0.7748478701825557,0.4040463179807442,0.7748478701825557,0.3741830065359477,0.7748478701825557,0.3773866742060126
PVD,0.8777120315581854,0.5434926958831342,0.8777120315581854,0.3482058878856283,0.8777120315581854,0.3412283431891275
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
overall,0.8613873694679264,0.7710361765330442,0.8613873694679264,0.6852696508219972,0.8613873694679264,0.718861252069883
