,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C,kernel
Asthma,0.9404761904761905,0.8778231292517007,0.9404761904761905,0.9082924836601307,0.9404761904761905,0.8795307866736438,0.1,linear
CAD,0.8430583501006036,0.7705878921225455,0.8430583501006036,0.8545277891268093,0.8430583501006036,0.8041423253879503,0.01,linear
CHF,0.8850806451612904,0.7335936197559546,0.8850806451612904,0.8039330588111077,0.8850806451612905,0.7585661389963047,100.0,rbf
Depression,0.9624505928853755,0.6346270540547101,0.9624505928853755,0.5980116060761222,0.9624505928853755,0.6146689585141568,100.0,rbf
Diabetes,0.9105367793240556,0.9459134615384616,0.9105367793240556,0.80715483234714,0.9105367793240556,0.86365151401807,0.1,linear
GERD,0.9603174603174603,0.4737900108241843,0.9603174603174603,0.4439200722964153,0.9603174603174603,0.457194557164996,0.1,linear
Gallstones,0.8619329388560157,0.7073560767590618,0.8619329388560157,0.596271242369246,0.8619329388560159,0.6204113619490198,0.1,linear
Gout,0.9623762376237623,0.6308908045977012,0.9623762376237623,0.5675694798211355,0.9623762376237623,0.5945426959366555,0.1,linear
Hypercholesterolemia,0.8824701195219123,0.8423686594202898,0.8824701195219123,0.6932833560502802,0.8824701195219125,0.7457551707551707,0.1,linear
Hypertension,0.9281437125748503,0.6465910141177014,0.9281437125748503,0.5749878463782208,0.9281437125748502,0.6042531811356118,100.0,rbf
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.1,linear
OA,0.900398406374502,0.8764102564102564,0.900398406374502,0.7461985688729875,0.900398406374502,0.7899722194330085,100.0,rbf
OSA,0.9403578528827038,0.9580841235108194,0.9403578528827038,0.7013553408480945,0.9403578528827038,0.7902959498483743,0.1,linear
Obesity,0.949290060851927,0.47823348264277715,0.949290060851927,0.4779979728076614,0.949290060851927,0.47780233990685805,0.01,linear
PVD,0.9467455621301775,0.6211295894593074,0.9467455621301775,0.5438652182091799,0.9467455621301775,0.5745108386782496,0.1,linear
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.01,linear
overall,0.9272749875683739,0.8059934527644266,0.9272749875683739,0.7387858243346285,0.9272749875683739,0.7668850929067629,,
