,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9900793650793651,0.9081536326827715,0.9900793650793651,0.9909109477124183,0.9900793650793651,0.9411986231340741
CAD,0.8752515090543259,0.7883140410314324,0.8752515090543259,0.8708331379811524,0.8752515090543259,0.8212395199736973
CHF,0.907258064516129,0.7464005799478284,0.907258064516129,0.8218192376728962,0.907258064516129,0.7740648071467587
Depression,0.9683794466403162,0.6378205128205128,0.9683794466403162,0.6119004949650111,0.9683794466403162,0.6240681042498344
Diabetes,0.9443339960238568,0.9674797537433726,0.9443339960238568,0.8252909270216962,0.9443339960238568,0.8835805048463883
GERD,0.9821428571428571,0.4798387096774194,0.9821428571428571,0.4837751447601834,0.9821428571428571,0.481794495199688
Gallstones,0.960552268244576,0.8041344620291988,0.960552268244576,0.7726722763020404,0.960552268244576,0.7870011564936273
Gout,0.9881188118811881,0.6416818519268408,0.9881188118811881,0.6565772343918039,0.9881188118811881,0.6488730477789059
Hypercholesterolemia,0.9382470119521913,0.8700581395348836,0.9382470119521913,0.7230930385178453,0.9382470119521913,0.7746000286752297
Hypertension,0.93812375249501,0.6487847374419217,0.93812375249501,0.5881137578998542,0.93812375249501,0.6121954842543078
Hypertriglyceridemia,0.9822485207100592,0.7646341463414634,0.9822485207100592,0.8929577464788733,0.9822485207100592,0.8154499494438827
OA,0.954183266932271,0.909574887609433,0.954183266932271,0.9354595259391771,0.954183266932271,0.92181479600474
OSA,0.9940357852882704,0.9897045855379188,0.9940357852882704,0.8277308105206655,0.9940357852882704,0.8809230393463007
Obesity,0.9614604462474645,0.4831003943817892,0.9614604462474645,0.48557373038341894,0.9614604462474645,0.48425494558982024
PVD,0.9664694280078896,0.6123596142295357,0.9664694280078896,0.6226838788562828,0.9664694280078896,0.6173628060214756
Venous Insufficiency,0.980276134122288,0.7479633401221997,0.980276134122288,0.8919517102615695,0.980276134122288,0.8026315789473685
overall,0.9583540527100944,0.8186127477953611,0.9583540527100944,0.7666620862101741,0.9583540527100944,0.7878729685425601
