,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,criterion
Asthma,0.9920634920634921,0.9088388945062351,0.9920634920634921,0.9945874183006536,0.9920634920634921,0.9433654546378308,gini
CAD,0.8893360160965795,0.7969170993247141,0.8893360160965795,0.8775238106401078,0.8893360160965794,0.8288159665373788,gini
CHF,0.8911290322580645,0.7350393069148083,0.8911290322580645,0.8105532678703411,0.8911290322580645,0.7627526298169259,gini
Depression,0.9723320158102767,0.6477890301419713,0.9723320158102767,0.6134365932753029,0.9723320158102767,0.6292406561812954,gini
Diabetes,0.9324055666003976,0.9567417292187934,0.9324055666003976,0.8245611439842209,0.9324055666003976,0.8772765246449457,entropy
GERD,0.9781746031746031,0.47817728008634647,0.9781746031746031,0.4765287679485892,0.9781746031746031,0.4773378243303403,entropy
Gallstones,0.9447731755424064,0.7760095331449768,0.9447731755424064,0.7632587215164349,0.9447731755424064,0.7693773496846762,entropy
Gout,0.9881188118811881,0.6416818519268408,0.9881188118811881,0.6565772343918039,0.9881188118811881,0.6488730477789059,gini
Hypercholesterolemia,0.9223107569721115,0.8618355481727574,0.9223107569721115,0.7148139734464132,0.9223107569721115,0.766349313947662,entropy
Hypertension,0.936127744510978,0.6479077134986226,0.936127744510978,0.5860476421973748,0.936127744510978,0.6107272506592812,gini
Hypertriglyceridemia,0.9921104536489151,0.9960079840319361,0.9921104536489151,0.8,0.9921104536489151,0.8729959919839678,gini
OA,0.9402390438247012,0.8835180623973727,0.9402390438247012,0.9178220035778175,0.9402390438247012,0.8993342423999358,gini
OSA,0.9940357852882704,0.9897045855379188,0.9940357852882704,0.8277308105206655,0.9940357852882704,0.8809230393463007,gini
Obesity,0.9391480730223124,0.4695121951219512,0.9391480730223124,0.4760581594491629,0.9391480730223124,0.47271117659222495,entropy
PVD,0.9783037475345168,0.6444975290385369,0.9783037475345168,0.6227426636568848,0.9783037475345168,0.6331110502116256,entropy
Venous Insufficiency,0.980276134122288,0.7479633401221997,0.980276134122288,0.8919517102615695,0.980276134122288,0.8026315789473685,gini
overall,0.954624564893088,0.8164181209159409,0.954624564893088,0.7640185122876704,0.954624564893088,0.7854550305174358,
