,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9146825396825397,0.8723512223411849,0.9146825396825397,0.8543028322440086,0.9146825396825397,0.8330422691879866
CAD,0.8732394366197183,0.7865437361620569,0.8732394366197183,0.8721685096749563,0.8732394366197183,0.8205936920222635
CHF,0.8487903225806451,0.7090133420287493,0.8487903225806451,0.7772780065462991,0.8487903225806451,0.7325725914329563
Depression,0.9209486166007905,0.6222953722953722,0.9209486166007905,0.49306622290493257,0.9209486166007905,0.5326186456193169
Diabetes,0.8648111332007953,0.9203318171799546,0.8648111332007953,0.7725295857988166,0.8648111332007953,0.8334649125608483
GERD,0.8968253968253969,0.4522733435776914,0.8968253968253969,0.32493222211065365,0.8968253968253969,0.34990724003424983
Gallstones,0.8264299802761341,0.6114478114478115,0.8264299802761341,0.5151698472932593,0.8264299802761341,0.5026008438627989
Gout,0.9108910891089109,0.5826558265582656,0.9108910891089109,0.3952283919171336,0.9108910891089109,0.42162698412698413
Hypercholesterolemia,0.8087649402390438,0.804964009235366,0.8087649402390438,0.654020899591095,0.8087649402390438,0.7071143047187791
Hypertension,0.874251497005988,0.628396921017403,0.874251497005988,0.5164073894020418,0.874251497005988,0.5582558445958665
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
OA,0.848605577689243,0.7819909344490934,0.848605577689243,0.590423747763864,0.848605577689243,0.6120398617042913
OSA,0.904572564612326,0.9421460892049126,0.904572564612326,0.614398819108964,0.904572564612326,0.706355462812685
Obesity,0.8377281947261663,0.4199294392275452,0.8377281947261663,0.41849288735101886,0.8377281947261662,0.4186549214792967
PVD,0.8974358974358975,0.5677640603566529,0.8974358974358975,0.41365688487584656,0.8974358974358975,0.44201821381584566
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
overall,0.8869965191447041,0.7845903935771142,0.8869965191447041,0.7069253643667606,0.8869965191447041,0.7385867557678892
