,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C
Asthma,0.9186507936507936,0.864791452601134,0.9186507936507936,0.8678513071895425,0.9186507936507937,0.8441822138646496,100.0
CAD,0.8712273641851107,0.785544141177944,0.8712273641851107,0.8716389657274134,0.8712273641851107,0.8196352091509556,100.0
CHF,0.842741935483871,0.7054621174075099,0.842741935483871,0.7723999577658113,0.8427419354838711,0.7280918676116365,0.1
Depression,0.9288537549407114,0.6266996075133165,0.9288537549407114,0.5115847414234511,0.9288537549407114,0.5500587999553251,100.0
Diabetes,0.8667992047713717,0.920509899434318,0.8667992047713717,0.7760502958579881,0.8667992047713717,0.835456176211751,10.0
GERD,0.8928571428571429,0.4168776371308017,0.8928571428571429,0.32986913010007696,0.8928571428571429,0.3515530163821233,100.0
Gallstones,0.8244575936883629,0.5961845172371488,0.8244575936883629,0.5143723991273901,0.8244575936883628,0.5018498627521183,10.0
Gout,0.9108910891089109,0.5826558265582656,0.9108910891089109,0.3952283919171336,0.9108910891089109,0.42162698412698413,100.0
Hypercholesterolemia,0.8087649402390438,0.804964009235366,0.8087649402390438,0.654020899591095,0.8087649402390438,0.7071143047187791,1.0
Hypertension,0.8702594810379242,0.6177027629233511,0.8702594810379242,0.5178658240155566,0.8702594810379242,0.5565731347667005,100.0
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.01
OA,0.852589641434263,0.7875226039783002,0.852589641434263,0.6066636851520573,0.852589641434263,0.6338655627833629,100.0
OSA,0.9125248508946322,0.9396719858156027,0.9125248508946322,0.6377818035426731,0.9125248508946323,0.7307145348681209,100.0
Obesity,0.8539553752535497,0.4286301660565547,0.8539553752535497,0.42700360001398063,0.8539553752535497,0.4272487469166688,100.0
PVD,0.8994082840236687,0.5715594828996892,0.8994082840236687,0.4188652182091799,0.8994082840236687,0.4487068965517242,100.0
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.01
overall,0.8886126305320736,0.7853636064631833,0.8886126305320736,0.7083373050617725,0.8886126305320736,0.7398077744659823,
