,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.8829365079365079,0.8870143149284253,0.8829365079365079,0.7861860021786492,0.8829365079365079,0.7480873632339431
CAD,0.7645875251509054,0.7284491907265571,0.7645875251509054,0.8129885199895515,0.7645875251509054,0.7620650953984287
CHF,0.7600806451612904,0.6479449619343328,0.7600806451612904,0.7113953120050681,0.7600806451612904,0.6671750526925816
Depression,0.9209486166007905,0.6222953722953722,0.9209486166007905,0.49306622290493257,0.9209486166007905,0.5326186456193169
Diabetes,0.805168986083499,0.8863636363636364,0.805168986083499,0.7327268244575936,0.805168986083499,0.7958520944194296
GERD,0.8630952380952381,0.3830321285140562,0.8630952380952381,0.2633380192121029,0.8630952380952381,0.25813820264948084
Gallstones,0.8303747534516766,0.6667780004453351,0.8303747534516766,0.5137307741663458,0.8303747534516766,0.4977759798001118
Gout,0.9306930693069307,0.6433470507544582,0.9306930693069307,0.4479821135450274,0.9306930693069307,0.49233733962168463
Hypercholesterolemia,0.703187250996016,0.7524828798476582,0.703187250996016,0.5945908425463173,0.703187250996016,0.6478478630914056
Hypertension,0.8083832335329342,0.581493071957172,0.8083832335329342,0.4552139037433155,0.8083832335329342,0.4933483776866555
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
OA,0.8725099601593626,0.8591090425531915,0.8725099601593626,0.6509671288014311,0.8725099601593626,0.692696177832192
OSA,0.8906560636182903,0.9623545516769335,0.8906560636182903,0.572463768115942,0.8906560636182903,0.6546539544363266
Obesity,0.7241379310344828,0.3695464155295022,0.7241379310344828,0.3481833910034602,0.7241379310344829,0.34922890752518715
PVD,0.8678500986193294,0.3878232655787766,0.8678500986193294,0.3399877727614748,0.8678500986193294,0.3287581113004994
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
overall,0.8495773247140725,0.7607226135308689,0.8495773247140725,0.6788196561984092,0.8495773247140725,0.7111438484680797
