,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.8630952380952381,0.6325985303941215,0.8630952380952381,0.7494212962962963,0.8630952380952381,0.6814715359828142
CAD,0.5895372233400402,0.4941416281458655,0.5895372233400402,0.6800131276665573,0.5895372233400402,0.5653962859570336
CHF,0.5584677419354839,0.31791414845808147,0.5584677419354839,0.5335497835497836,0.5584677419354839,0.3983865586995421
Depression,0.8557312252964426,0.2858085808580858,0.8557312252964426,0.33256528417818737,0.8557312252964426,0.30741924032658857
Diabetes,0.6938369781312127,0.6717479674796748,0.6938369781312127,0.6041666666666666,0.6938369781312127,0.6179001721170396
GERD,0.8591269841269841,0.21478174603174602,0.8591269841269841,0.25,0.8591269841269841,0.2310565635005336
Gallstones,0.8264299802761341,0.4425742574257425,0.8264299802761341,0.5,0.8264299802761341,0.46858071505958837
Gout,0.8950495049504951,0.29894179894179895,0.8950495049504951,0.33259749816041206,0.8950495049504951,0.3148728665970045
Hypercholesterolemia,0.5637450199203188,0.5404040404040404,0.5637450199203188,0.4991039426523297,0.5637450199203188,0.48261686633779655
Hypertension,0.7485029940119761,0.375,0.7485029940119761,0.37366310160427807,0.7485029940119761,0.36379310344827587
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
OA,0.8286852589641435,0.41434262948207173,0.8286852589641435,0.5,0.8286852589641436,0.4531590413943355
OSA,0.8608349900596421,0.6201859229747676,0.8608349900596421,0.5,0.8608349900596421,0.5305733999524149
Obesity,0.5841784989858012,0.14634146341463414,0.5841784989858012,0.2491349480968858,0.5841784989858012,0.18437900128040974
PVD,0.873767258382643,0.29183135704874835,0.873767258382643,0.3333333333333333,0.873767258382643,0.31120477695820165
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
overall,0.7860517155643958,0.714664462742633,0.7860517155643958,0.6315016951868847,0.7860517155643958,0.6618981781550516
