,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C,kernel
Asthma,0.9285714285714286,0.875355025384315,0.9285714285714286,0.8831358932461874,0.9285714285714286,0.8596124110916401,0.01,linear
CAD,0.8712273641851107,0.7854858533263576,0.8712273641851107,0.870147033214336,0.8712273641851107,0.8192998453065198,100.0,rbf
CHF,0.8689516129032258,0.7215296024483303,0.8689516129032258,0.7926670890085524,0.8689516129032258,0.7469526959433249,100.0,rbf
Depression,0.9466403162055336,0.6257151460403493,0.9466403162055336,0.5609745690390852,0.9466403162055336,0.5877141063581741,0.1,linear
Diabetes,0.856858846918489,0.9134871254905714,0.856858846918489,0.7732790927021695,0.8568588469184889,0.8305334374186832,0.1,linear
GERD,0.8988095238095238,0.41670524914636264,0.8988095238095238,0.34683033771797706,0.8988095238095238,0.36818658280922434,0.1,linear
Gallstones,0.8244575936883629,0.6056998556998557,0.8244575936883629,0.5295422464206494,0.8244575936883628,0.5292080698584763,0.01,linear
Gout,0.9148514851485149,0.5918367346938775,0.9148514851485149,0.4080489047376465,0.9148514851485149,0.4393457373308911,0.1,linear
Hypercholesterolemia,0.8087649402390438,0.8037967995169082,0.8087649402390438,0.6548538543086476,0.8087649402390438,0.7072631072631073,0.1,linear
Hypertension,0.8842315369261478,0.6244733560834755,0.8842315369261478,0.532328633932912,0.8842315369261476,0.5691129032258064,100.0,rbf
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.01,linear
OA,0.8625498007968128,0.8071887427347813,0.8625498007968128,0.6403454830053668,0.8625498007968128,0.675804685379482,0.1,linear
OSA,0.9184890656063618,0.9302782819116757,0.9184890656063618,0.6563338701019861,0.9184890656063618,0.7462820798101172,0.01,linear
Obesity,0.8580121703853956,0.42999474007188565,0.8580121703853956,0.4299264268987453,0.8580121703853956,0.4296296296296296,100.0,rbf
PVD,0.8954635108481263,0.5421483021483021,0.8954635108481263,0.42181621519939805,0.8954635108481263,0.44940577524847186,0.1,linear
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.01,linear
overall,0.8938339134758826,0.7865387481756151,0.8938339134758826,0.7139054099713855,0.8938339134758826,0.7439121793689825,,
