,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9920634920634921,0.9088388945062351,0.9920634920634921,0.9945874183006536,0.9920634920634921,0.9433654546378308
CAD,0.7947686116700201,0.7449480810343072,0.7947686116700201,0.8261534429984662,0.7947686116700201,0.7771554328308155
CHF,0.8931451612903226,0.7371653832049873,0.8931451612903226,0.8108726639214444,0.8931451612903226,0.7640311541328658
Depression,0.9723320158102767,0.6437062937062937,0.9723320158102767,0.6172981737497867,0.9723320158102767,0.6296970608049798
Diabetes,0.9284294234592445,0.9567435627452857,0.9284294234592445,0.8175197238658777,0.9284294234592445,0.8742735709948825
GERD,0.9801587301587301,0.4790104947526237,0.9801587301587301,0.48015195635438634,0.9801587301587301,0.4795799105055767
Gallstones,0.9585798816568047,0.8065174192457297,0.9585798816568047,0.7658068892188674,0.9585798816568046,0.7838235294117647
Gout,0.9821782178217822,0.6256893974537395,0.9821782178217822,0.6543697288730401,0.9821782178217822,0.6390872012674015
Hypercholesterolemia,0.9382470119521913,0.8702702027769453,0.9382470119521913,0.7228153869453279,0.9382470119521913,0.7745662925861766
Hypertension,0.9281437125748503,0.6399358235708341,0.9281437125748503,0.5847715119105494,0.9281437125748502,0.6059653540572223
Hypertriglyceridemia,0.9861932938856016,0.8056680161943319,0.9861932938856016,0.8949698189134809,0.9861932938856016,0.8442943008818496
OA,0.9601593625498008,0.9208112407211029,0.9601593625498008,0.9436773255813953,0.9601593625498008,0.9317136871888347
OSA,0.9940357852882704,0.9897045855379188,0.9940357852882704,0.8277308105206655,0.9940357852882704,0.8809230393463007
Obesity,0.9614604462474645,0.4831003943817892,0.9614604462474645,0.48557373038341894,0.9614604462474645,0.48425494558982024
PVD,0.9763313609467456,0.6352804417320547,0.9763313609467456,0.6264461060948081,0.9763313609467456,0.6307868506290152
Venous Insufficiency,0.9861932938856016,0.8056680161943319,0.9861932938856016,0.8949698189134809,0.9861932938856016,0.8442943008818496
overall,0.9522625559423172,0.8153499379286823,0.9522625559423172,0.7620637121004447,0.9522625559423172,0.7839417850181464
