,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9107142857142857,0.8843240093240093,0.9107142857142857,0.8407543572984749,0.9107142857142857,0.820547784177736
CAD,0.8450704225352113,0.7717693796886343,0.8450704225352113,0.8543113668178135,0.8450704225352113,0.8047063244169935
CHF,0.875,0.7277085125989394,0.875,0.7958029775102946,0.875,0.7512418618735203
Depression,0.9426877470355731,0.6338135181132993,0.9426877470355731,0.5439921488308584,0.9426877470355731,0.5780396558174336
Diabetes,0.9065606361829026,0.9456316781898176,0.9065606361829026,0.8010404339250493,0.9065606361829026,0.8605107925198854
GERD,0.9285714285714286,0.4745066265408878,0.9285714285714286,0.37985741540315293,0.9285714285714286,0.40981132075471693
Gallstones,0.8500986193293886,0.7419052488070893,0.8500986193293886,0.5520449504115565,0.8500986193293886,0.5630514909210277
Gout,0.9326732673267327,0.6161981379372684,0.9326732673267327,0.4657412124299542,0.9326732673267327,0.5078658101356174
Hypercholesterolemia,0.8764940239043825,0.8419157259033044,0.8764940239043825,0.6883739714271291,0.8764940239043825,0.7422996958726082
Hypertension,0.908183632734531,0.6393862012783557,0.908183632734531,0.552929022848809,0.908183632734531,0.5880733138860577
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
OA,0.8725099601593626,0.8416189794945159,0.8725099601593626,0.6601911896243291,0.8725099601593626,0.701423738894465
OSA,0.9204771371769384,0.9527901617453857,0.9204771371769384,0.6489868491680085,0.9204771371769384,0.743741521765939
Obesity,0.9350912778904665,0.4715335857029668,0.9350912778904665,0.4699547376883017,0.9350912778904665,0.4702586433490459
PVD,0.9289940828402367,0.622626582278481,0.9289940828402367,0.48807844243792325,0.9289940828402367,0.5289440203562341
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
overall,0.9122327200397812,0.800630605611551,0.9122327200397812,0.7247027476986179,0.9122327200397812,0.7560096974588457
