,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C
Asthma,0.9206349206349206,0.888303005238489,0.9206349206349206,0.8591367102396514,0.9206349206349206,0.8404040404040404,100.0
CAD,0.8450704225352113,0.7717693796886343,0.8450704225352113,0.8543113668178135,0.8450704225352113,0.8047063244169935,1.0
CHF,0.875,0.728321214979796,0.875,0.7953674374406082,0.875,0.7511598395019582,100.0
Depression,0.9565217391304348,0.6357299498746868,0.9565217391304348,0.5802611367127496,0.9565217391304348,0.6040886638893284,100.0
Diabetes,0.9065606361829026,0.9456316781898176,0.9065606361829026,0.8010404339250493,0.9065606361829026,0.8605107925198854,1.0
GERD,0.9424603174603174,0.47012061403508776,0.9424603174603174,0.4113113766442414,0.9424603174603174,0.43415246171151683,100.0
Gallstones,0.8560157790927022,0.7283360394491551,0.8560157790927022,0.5696071422024235,0.8560157790927023,0.5884848484848485,100.0
Gout,0.9485148514851485,0.6289526927186342,0.9485148514851485,0.5170232637120055,0.9485148514851485,0.5569058089810647,100.0
Hypercholesterolemia,0.8764940239043825,0.8419157259033044,0.8764940239043825,0.6883739714271291,0.8764940239043825,0.7422996958726082,1.0
Hypertension,0.908183632734531,0.6355095139706413,0.908183632734531,0.5571220223626641,0.908183632734531,0.5892029385390081,100.0
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.01
OA,0.8824701195219123,0.8452954048140044,0.8824701195219123,0.6984850178890877,0.8824701195219125,0.7410176368230984,100.0
OSA,0.9224652087475149,0.9464711492608489,0.9224652087475149,0.6578770799785292,0.9224652087475149,0.750973945628734,100.0
Obesity,0.9411764705882353,0.4744887202192705,0.9411764705882353,0.4733450421166684,0.9411764705882353,0.4734922093837535,100.0
PVD,0.9368836291913215,0.6204078572499625,0.9368836291913215,0.5133676636568848,0.9368836291913215,0.5507486565793532,100.0
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.01
overall,0.9175783192441571,0.8024131464021176,0.9175783192441571,0.7298898389331686,0.9175783192441571,0.7600070933217973,
