,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.8690476190476191,0.813225900116144,0.8690476190476191,0.7666462418300654,0.8690476190476191,0.7154761904761905
CAD,0.7887323943661971,0.7414405089495343,0.7887323943661971,0.8238188448992988,0.7887323943661971,0.7742951223668075
CHF,0.7600806451612904,0.6517551570557899,0.7600806451612904,0.7083465315172632,0.7600806451612904,0.6648864823786454
Depression,0.9209486166007905,0.6222953722953722,0.9209486166007905,0.49306622290493257,0.9209486166007905,0.5326186456193169
Diabetes,0.8409542743538767,0.9112152588555857,0.8409542743538767,0.7506755424063116,0.8409542743538766,0.8162715298885512
GERD,0.8611111111111112,0.38223552894211577,0.8611111111111112,0.2566690096060515,0.8611111111111112,0.24515227218653346
Gallstones,0.8362919132149902,0.7054958183990442,0.8362919132149902,0.525225027039909,0.8362919132149902,0.5187059324094335
Gout,0.9089108910891089,0.5769869076157109,0.9089108910891089,0.3888181355068772,0.9089108910891089,0.4123628309674822
Hypercholesterolemia,0.7768924302788844,0.8004059895630502,0.7768924302788844,0.6302438285627745,0.7768924302788844,0.6850008675785493
Hypertension,0.8143712574850299,0.5913252052957936,0.8143712574850299,0.45582158483227997,0.8143712574850299,0.4946708683473389
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
OA,0.9103585657370518,0.9219312602291325,0.9103585657370518,0.7522081842576029,0.9103585657370518,0.8049946910905277
OSA,0.882703777335984,0.9348225053746525,0.882703777335984,0.557199409554482,0.882703777335984,0.6317629300071502
Obesity,0.744421906693712,0.3887350427350428,0.744421906693712,0.35643633567509003,0.744421906693712,0.358115796519411
PVD,0.9053254437869822,0.6167273831208258,0.9053254437869822,0.42112255455229497,0.9053254437869822,0.45471693170207744
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
overall,0.8617603182496271,0.7700873205668298,0.8617603182496271,0.6863190394923155,0.8617603182496271,0.7193825793444276
