,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,n_estimators,criterion
Asthma,0.8928571428571429,0.8362170433145009,0.8928571428571429,0.8231549564270153,0.8928571428571429,0.7955926874708896,5.0,entropy
CAD,0.8309859154929577,0.7669538407329106,0.8309859154929577,0.8420259472348178,0.8309859154929577,0.7949746884868579,80.0,entropy
CHF,0.8467741935483871,0.706792431923322,0.8467741935483871,0.7765230704255094,0.8467741935483871,0.731305943949622,100.0,entropy
Depression,0.9644268774703557,0.635698723934018,0.9644268774703557,0.6026412357057519,0.9644268774703557,0.6178420429561982,100.0,gini
Diabetes,0.8667992047713717,0.9425716440422323,0.8667992047713717,0.7556558185404338,0.8667992047713717,0.8281288156288156,100.0,entropy
GERD,0.871031746031746,0.3750804634695848,0.871031746031746,0.3021973424373264,0.871031746031746,0.31637298515223294,5.0,entropy
Gallstones,0.8461538461538461,0.6827525293078529,0.8461538461538461,0.5625859319144255,0.8461538461538461,0.5775807920863713,5.0,gini
Gout,0.900990099009901,0.5085905269204658,0.900990099009901,0.380200373577857,0.9009900990099011,0.397729248152977,5.0,gini
Hypercholesterolemia,0.8645418326693227,0.8343762732581829,0.8645418326693227,0.6829976273411076,0.8645418326693227,0.7362785090243933,100.0,entropy
Hypertension,0.8702594810379242,0.6306759959011143,0.8702594810379242,0.508082158483228,0.8702594810379242,0.551694369282309,10.0,gini
Hypertriglyceridemia,0.9763313609467456,0.4900990099009901,0.9763313609467456,0.49798792756539234,0.9763313609467456,0.49401197604790414,5.0,gini
OA,0.8864541832669323,0.8411590800399982,0.8864541832669323,0.7193369856887298,0.8864541832669323,0.7590988306013688,5.0,gini
OSA,0.9224652087475149,0.9295232304808229,0.9224652087475149,0.6741143317230275,0.9224652087475149,0.7612033028699695,5.0,entropy
Obesity,0.8316430020283976,0.42887402011243964,0.8316430020283976,0.4079462444514348,0.8316430020283977,0.4120902765061344,50.0,gini
PVD,0.9349112426035503,0.5924998841144022,0.9349112426035503,0.530438769751693,0.9349112426035503,0.5557419947663851,5.0,gini
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,5.0,gini
overall,0.8932123321730482,0.7836019858229997,0.8932123321730482,0.716729884348038,0.8932123321730482,0.7445860939071994,,
