,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C,kernel
Asthma,0.9444444444444444,0.8834807256235827,0.9444444444444444,0.9125476579520697,0.9444444444444444,0.8843711843711843,0.1,linear
CAD,0.8329979879275654,0.7659694709164674,0.8329979879275654,0.8466583055933237,0.8329979879275654,0.7978896103896104,100.0,rbf
CHF,0.8790322580645161,0.7306200918453302,0.8790322580645161,0.798183929891247,0.8790322580645161,0.7538037864688922,0.1,linear
Depression,0.9624505928853755,0.6346270540547101,0.9624505928853755,0.5980116060761222,0.9624505928853755,0.6146689585141568,100.0,rbf
Diabetes,0.9025844930417495,0.9412202380952381,0.9025844930417495,0.8023422090729783,0.9025844930417496,0.8588998606366385,0.1,linear
GERD,0.9603174603174603,0.4737900108241843,0.9603174603174603,0.4439200722964153,0.9603174603174603,0.457194557164996,0.1,linear
Gallstones,0.8658777120315582,0.7222430373423254,0.8658777120315582,0.5978661387009844,0.8658777120315583,0.6236384708109832,0.1,linear
Gout,0.9623762376237623,0.6308908045977012,0.9623762376237623,0.5675694798211355,0.9623762376237623,0.5945426959366555,0.1,linear
Hypercholesterolemia,0.8844621513944223,0.8432792816939159,0.8844621513944223,0.694457064970468,0.8844621513944223,0.7468226366126369,0.1,linear
Hypertension,0.9221556886227545,0.6440355628827131,0.9221556886227545,0.5687894992707827,0.9221556886227545,0.5996212121212121,0.01,linear
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.1,linear
OA,0.898406374501992,0.8585649517051055,0.898406374501992,0.7542207066189623,0.898406374501992,0.7920615969396457,0.1,linear
OSA,0.9383697813121272,0.9568942702130475,0.9383697813121272,0.6965244229736983,0.9383697813121272,0.7862075061040956,0.1,linear
Obesity,0.947261663286004,0.4774392916630139,0.947261663286004,0.47673534654503513,0.947261663286004,0.4767195767195767,0.01,linear
PVD,0.9467455621301775,0.6159551290965558,0.9467455621301775,0.5483211060948081,0.9467455621301775,0.5759773076846247,0.1,linear
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.01,linear
overall,0.9256588761810045,0.804370973580502,0.9256588761810045,0.7382225661023928,0.9256588761810045,0.7658865223896683,,
