,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9900793650793651,0.9081536326827715,0.9900793650793651,0.9909109477124183,0.9900793650793651,0.9411986231340741
CAD,0.8551307847082495,0.7785077825400406,0.8551307847082495,0.858078035940336,0.8551307847082495,0.8097612318586345
CHF,0.8870967741935484,0.7325895592235373,0.8870967741935484,0.8059946151409566,0.8870967741935484,0.7592987297067034
Depression,0.9644268774703557,0.631934731934732,0.9644268774703557,0.6065028161802356,0.9644268774703557,0.618439147694689
Diabetes,0.9025844930417495,0.939509572030453,0.9025844930417495,0.8069773175542405,0.9025844930417496,0.8598210200657966
GERD,0.9821428571428571,0.4798387096774194,0.9821428571428571,0.4837751447601834,0.9821428571428571,0.481794495199688
Gallstones,0.9704142011834319,0.8120679067371883,0.9704142011834319,0.7887953949659939,0.9704142011834319,0.7996916576257638
Gout,0.9881188118811881,0.6416818519268408,0.9881188118811881,0.6565772343918039,0.9881188118811881,0.6488730477789059
Hypercholesterolemia,0.9262948207171314,0.8643476231748783,0.9262948207171314,0.7166060881417537,0.9262948207171314,0.7684939831642783
Hypertension,0.9540918163672655,0.6619529638597434,0.9540918163672655,0.5962566844919787,0.9540918163672655,0.6228116932253183
Hypertriglyceridemia,0.9940828402366864,0.9424364123159303,0.9940828402366864,0.8989939637826962,0.9940828402366864,0.9195450938905052
OA,0.952191235059761,0.900737522731865,0.952191235059761,0.9434816636851521,0.952191235059761,0.9201484623541888
OSA,0.9940357852882704,0.9897045855379188,0.9940357852882704,0.8277308105206655,0.9940357852882704,0.8809230393463007
Obesity,0.9594320486815415,0.4818052318052318,0.9594320486815415,0.48470867848030474,0.9594320486815415,0.4831978566900277
PVD,0.9723865877712031,0.6291533468952824,0.9723865877712031,0.6204853273137697,0.9723865877712031,0.6247442481940791
Venous Insufficiency,0.980276134122288,0.7479633401221997,0.980276134122288,0.8919517102615695,0.980276134122288,0.8026315789473685
overall,0.9547488811536549,0.8166369707778656,0.9547488811536549,0.7639203927668667,0.9547488811536549,0.7855153919062438
