,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,criterion
Asthma,0.9920634920634921,0.9117779159756771,0.9920634920634921,0.991489651416122,0.9920634920634921,0.9432870370370371,gini
CAD,0.8591549295774648,0.7807259944356719,0.8591549295774648,0.86025607322023,0.8591549295774648,0.811958231849335,gini
CHF,0.8991935483870968,0.7403176913534227,0.8991935483870968,0.8170573329109915,0.8991935483870968,0.7684964164310758,gini
Depression,0.9664031620553359,0.6367630385487528,0.9664031620553359,0.6072708653353814,0.9664031620553359,0.6209747899159664,gini
Diabetes,0.9125248508946322,0.9450483648088439,0.9125248508946322,0.813456607495069,0.9125248508946323,0.8657371514487862,gini
GERD,0.9781746031746031,0.47569124423963133,0.9781746031746031,0.4795745891488436,0.9781746031746031,0.47762067162878696,entropy
Gallstones,0.9625246548323472,0.8118552342296633,0.9625246548323472,0.7704357550092578,0.9625246548323472,0.7887745098039215,gini
Gout,0.9881188118811881,0.6416818519268408,0.9881188118811881,0.6565772343918039,0.9881188118811881,0.6488730477789059,gini
Hypercholesterolemia,0.9243027888446215,0.8628228292941684,0.9243027888446215,0.7162653339391186,0.9243027888446215,0.767553704975942,entropy
Hypertension,0.9401197604790419,0.6487398921832884,0.9401197604790419,0.5915775401069518,0.9401197604790419,0.6138456921481966,gini
Hypertriglyceridemia,0.9901380670611439,0.8616202346041055,0.9901380670611439,0.8969818913480885,0.9901380670611439,0.8784347575888362,entropy
OA,0.950199203187251,0.9054169674607631,0.950199203187251,0.9238316189624329,0.950199203187251,0.9142636580383798,gini
OSA,0.9940357852882704,0.9897045855379188,0.9940357852882704,0.8277308105206655,0.9940357852882704,0.8809230393463007,gini
Obesity,0.9634888438133874,0.4844083040185766,0.9634888438133874,0.48643878228653314,0.9634888438133874,0.4853136906936688,gini
PVD,0.9704142011834319,0.6243625114956943,0.9704142011834319,0.6197328818660647,0.9704142011834319,0.6220294697925738,gini
Venous Insufficiency,0.9783037475345168,0.7332533013205282,0.9783037475345168,0.8909456740442656,0.9783037475345168,0.7907238545536418,gini
overall,0.9545002486325211,0.8167204818990532,0.9545002486325211,0.7636215670385211,0.9545002486325211,0.7854068139839249,
