,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.9166666666666666,0.8735531278449733,0.9166666666666666,0.857979302832244,0.9166666666666666,0.8368222011510728
CAD,0.8631790744466801,0.7812178314357522,0.8631790744466801,0.8654179755262787,0.8631790744466801,0.8148719701351281
CHF,0.8467741935483871,0.706792431923322,0.8467741935483871,0.7765230704255094,0.8467741935483871,0.731305943949622
Depression,0.9209486166007905,0.6222953722953722,0.9209486166007905,0.49306622290493257,0.9209486166007905,0.5326186456193169
Diabetes,0.8648111332007953,0.9208037825059102,0.8648111332007953,0.7716025641025641,0.8648111332007953,0.8331406711682923
GERD,0.8968253968253969,0.4522733435776914,0.8968253968253969,0.32493222211065365,0.8968253968253969,0.34990724003424983
Gallstones,0.8264299802761341,0.6114478114478115,0.8264299802761341,0.5151698472932593,0.8264299802761341,0.5026008438627989
Gout,0.9108910891089109,0.5826558265582656,0.9108910891089109,0.3952283919171336,0.9108910891089109,0.42162698412698413
Hypercholesterolemia,0.8027888446215139,0.801936026936027,0.8027888446215139,0.6507774244030491,0.8027888446215139,0.7039262377423874
Hypertension,0.8642714570858283,0.6146933590954631,0.8642714570858283,0.5116674769081186,0.8642714570858284,0.5509925174695443
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
OA,0.8426294820717132,0.7519742216574385,0.8426294820717132,0.5775939177101967,0.8426294820717132,0.5934806006867921
OSA,0.904572564612326,0.9421460892049126,0.904572564612326,0.614398819108964,0.904572564612326,0.706355462812685
Obesity,0.8417849898580122,0.4229523265568387,0.8417849898580122,0.4198254167977351,0.8417849898580123,0.420525745305216
PVD,0.8974358974358975,0.5677640603566529,0.8974358974358975,0.41365688487584656,0.8974358974358975,0.44201821381584566
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
overall,0.8852560914967678,0.7832666511315481,0.8852560914967678,0.7059651608853754,0.8852560914967678,0.7374917671832201
