,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro,C
Asthma,0.9186507936507936,0.864791452601134,0.9186507936507936,0.8678513071895425,0.9186507936507937,0.8441822138646496,100.0
CAD,0.8631790744466801,0.7812178314357522,0.8631790744466801,0.8654179755262787,0.8631790744466801,0.8148719701351281,1.0
CHF,0.8508064516129032,0.7102060867920152,0.8508064516129032,0.7789040228064618,0.8508064516129031,0.734059700632408,10.0
Depression,0.9268774703557312,0.6256272401433692,0.9268774703557312,0.5069551117938215,0.9268774703557312,0.5458048625456856,100.0
Diabetes,0.8648111332007953,0.9194912747707779,0.8648111332007953,0.7743836291913214,0.8648111332007953,0.834096314184162,100.0
GERD,0.8968253968253969,0.43067226890756305,0.8968253968253969,0.33102386451116245,0.8968253968253969,0.3545302983906638,100.0
Gallstones,0.8224852071005917,0.5834460220869958,0.8224852071005917,0.5135749509615208,0.8224852071005917,0.5011050867252843,100.0
Gout,0.9108910891089109,0.5826558265582656,0.9108910891089109,0.3952283919171336,0.9108910891089109,0.42162698412698413,100.0
Hypercholesterolemia,0.8027888446215139,0.801936026936027,0.8027888446215139,0.6507774244030491,0.8027888446215139,0.7039262377423874,1.0
Hypertension,0.872255489021956,0.6186901278193413,0.872255489021956,0.519931939718036,0.872255489021956,0.5584049753063838,100.0
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.01
OA,0.850597609561753,0.7813255360623782,0.850597609561753,0.6008497316636852,0.850597609561753,0.626054050832812,10.0
OSA,0.9165009940357853,0.9347812786784949,0.9165009940357853,0.6474436392914654,0.9165009940357853,0.7390714278923401,100.0
Obesity,0.8519269776876268,0.42775611485288906,0.8519269776876268,0.42574097375135433,0.8519269776876268,0.42611150162551625,100.0
PVD,0.8994082840236687,0.5715594828996892,0.8994082840236687,0.4188652182091799,0.8994082840236687,0.4487068965517242,100.0
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251,0.01
overall,0.8882396817503729,0.7846155115112209,0.8882396817503729,0.7084902165470538,0.8882396817503729,0.7396574628486764,
