,P-Micro,P-Macro,R-Micro,R-Macro,F-Micro,F-Macro
Asthma,0.875,0.8543576035302104,0.875,0.7745778867102396,0.875,0.7289887095854479
CAD,0.7303822937625755,0.7094931308712228,0.7303822937625755,0.7909318633918944,0.7303822937625754,0.7418019480519481
CHF,0.7338709677419355,0.6349323684216448,0.7338709677419355,0.6889504804138951,0.7338709677419355,0.6451608201785489
Depression,0.9604743083003953,0.6335474819081376,0.9604743083003953,0.5933819764464926,0.9604743083003953,0.6114546046208916
Diabetes,0.7872763419483101,0.8740858591306224,0.7872763419483101,0.7186538461538461,0.7872763419483101,0.7821803997749276
GERD,0.8630952380952381,0.4656374501992032,0.8630952380952381,0.2572463768115942,0.8630952380952381,0.24563530918129095
Gallstones,0.834319526627219,0.7230015586729014,0.834319526627219,0.5183596399567362,0.834319526627219,0.5056714469420699
Gout,0.899009900990099,0.5506666666666667,0.899009900990099,0.35109243221826003,0.8990099009900991,0.3512092140108929
Hypercholesterolemia,0.6434262948207171,0.7189516129032258,0.6434262948207171,0.5618784390933415,0.6434262948207171,0.6133375131166977
Hypertension,0.810379241516966,0.59375,0.810379241516966,0.44889402041808457,0.810379241516966,0.48679580759872726
Hypertriglyceridemia,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
OA,0.8406374501992032,0.9193548387096775,0.8406374501992032,0.5348837209302325,0.8406374501992032,0.5213577421815407
OSA,0.8986083499005965,0.9369156757738041,0.8986083499005965,0.5999060654857756,0.8986083499005965,0.6890686563048516
Obesity,0.7261663286004056,0.3766278429933969,0.7261663286004056,0.34666299674950196,0.7261663286004056,0.3473372922752742
PVD,0.8816568047337278,0.5451807228915663,0.8816568047337278,0.36307844243792325,0.8816568047337278,0.36798913685204865
Venous Insufficiency,0.980276134122288,0.490138067061144,0.980276134122288,0.5,0.980276134122288,0.4950199203187251
overall,0.8408751864743909,0.7548280827370097,0.8408751864743909,0.6726041680201907,0.8408751864743909,0.704824257797289
